name,gender,active_since,birthdate,height_cm,weight_kg,source_a,source_b,source_c,first_final_s,hold_1,hold_2,hold_3,hold_4,hold_5,hold_6,hold_7,hold_8,hold_9,hold_10,hold_11,hold_12,hold_13,hold_14,hold_15,hold_16,hold_17,hold_18,hold_19,hold_20
Aleksandra Mirosław,w,2009,2 Feb 94,162,49,https://www.ifsc-climbing.org/athlete/2848/aleksandra-miroslaw,https://en.wikipedia.org/wiki/Aleksandra_Miros%C5%82aw,https://www.digitalrock.de/egroupware/ranking/sitemgr/digitalrock/pstambl.html#person=9493&cat=59,8.162,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
CuiLian He,w,2007,25 Dec 89,165,60,https://info2014.sat.or.th/eng/zb/ZBB101A_PH2014CL@@@@@@@ENG_number=00736.htm,https://www.wikidata.org/wiki/Q3006791,https://ifsc.results.info/athlete/2930,10.367,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Elizaveta Ivanova,w,2013,29 Dec 99,NA,NA,https://www.ifsc-climbing.org/athlete/129/elizaveta-ivanova,NA,NA,8.304,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Patrycja Chudziak,w,2011,2 Jul 97,168,NA,https://www.ifsc-climbing.org/athlete/2857/patrycja-chudziak,https://www.wikidata.org/wiki/Q56676131,NA,8.159,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
Aleksandra Kałucka,w,2015,25 Dec 01,164,NA,https://www.ifsc-climbing.org/athlete/2878/aleksandra-kalucka,https://en.wikipedia.org/wiki/Aleksandra_Ka%C5%82ucka,NA,8.038,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Natalia Kałucka,w,2015,25 Dec 01,165,NA,https://www.ifsc-climbing.org/athlete/2879/natalia-kalucka,https://en.wikipedia.org/wiki/Natalia_Ka%C5%82ucka,NA,8.274,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Anna Tsyganova,w,2007,6 Sep 93,166,NA,https://cs.wikipedia.org/wiki/Anna_Cyganovová,https://www.digitalrock.de/egroupware/ranking/sitemgr/digitalrock/pstambl.html#person=8428&cat=2,https://www.ifsc-climbing.org/athlete/73/anna-tsyganova,7.978,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Di Niu,w,2011,22 Sep 96,170,NA,https://www.ifsc-climbing.org/athlete/2941/di-niu,https://www.wikidata.org/wiki/Q70875970,https://www.ocagames.com/HZ_Info/AG2022-/en/results/sport-climbing/athlete-profile-n2011129-niu-di.htm,8.037,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Anouck Jaubert,w,2011,27 Jan 94,169,60,https://www.ifsc-climbing.org/athlete/479/anouck-jaubert,https://en.wikipedia.org/wiki/Anouck_Jaubert,https://www.digitalrock.de/egroupware/ranking/sitemgr/digitalrock/pstambl.html#person=10354&cat=24,fall,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Alla Marenych,w,2012,26 Jun 88,167,56,https://www.digitalrock.de/egroupware/ranking/sitemgr/digitalrock/pstambl.html#person=11299&cat=24,https://www.ifsc-climbing.org/athlete/1493/alla-marenych,NA,8.395,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Anna Brożek,w,2011,27 Mar 95,NA,NA,https://www.ifsc-climbing.org/athlete/2855/anna-brozek,https://www.wikidata.org/wiki/Q56611612,NA,7.908,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Iuliia Kaplina,w,2011,11 May 93,165,53,https://www.ifsc-climbing.org/athlete/110/iuliia-kaplina,https://en.wikipedia.org/wiki/Iuliia_Kaplina,https://www.digitalrock.de/egroupware/ranking/sitemgr/digitalrock/pstambl.html#person=10857&cat=24,8.437,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Mariia Krasavina,w,2008,3 Aug 90,171,NA,https://www.ifsc-climbing.org/athlete/82/mariia-krasavina,https://www.wikidata.org/wiki/Q28001434,NA,8.264,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Ekaterina Barashchuck,w,2013,20 Apr 99,NA,NA,https://www.ifsc-climbing.org/athlete/137/ekaterina-barashchuk,NA,NA,8.302,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Yiling Song,w,2016,28 Jan 01,164,NA,https://www.ifsc-climbing.org/athlete/2970/yiling-song,https://en.wikipedia.org/wiki/Song_Yiling,NA,8.362,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Victoire Andrier,w,2013,16 Feb 96,170,NA,https://results.european-games.org/pdf/EG2023/CLB/EG2023_CLB_C32C_CLB-------------------------------.pdf,https://www.ifsc-climbing.org/athlete/511/victoire-andrier,NA,fall,1,0,1,1,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reza Alipour,m,2011,29 Apr 94,170,76,https://www.ifsc-climbing.org/athlete/3471/reza-alipour-shenazandifard,https://en.wikipedia.org/wiki/Reza_Alipour,NA,6.144,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Jordan Fishman,m,2017,18 Sep 02,NA,NA,https://www.ifsc-climbing.org/athlete/1935/jordan-fishman,NA,NA,8.977,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Kostiantyn Pavlenko,m,2012,11 Aug 98,182,NA,https://www.ifsc-climbing.org/athlete/1492/kostiantyn-pavlenko,https://ec2022results.com/webrelease/en/results/sport-climbing/athlete-profile-n6515295-pavlenko-kostiantyn.htm,NA,6.228,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Leonardo Gontero,m,2009,11 Dec 93,171,60,https://www.ifsc-climbing.org/athlete/856/leonardo-gontero,https://it.wikipedia.org/wiki/Leonardo_Gontero,NA,fall,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vladislav Deulin,m,2011,5 May 94,NA,NA,https://www.ifsc-climbing.org/athlete/98/vladislav-deulin,https://en.wikipedia.org/wiki/Vladislav_Deulin,NA,6.053,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
Dmitrii Timofeev,m,2011,7 Mar 93,NA,NA,https://www.ifsc-climbing.org/athlete/105/dmitrii-timofeev,https://www.wikidata.org/wiki/Q27985547,NA,12.236,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stanislav Kokorin,m,2007,22 Jan 90,172,67,https://www.ifsc-climbing.org/athlete/74/stanislav-kokorin,https://en.wikipedia.org/wiki/Stanislav_Kokorin,NA,5.953,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Aleksandr Shilov,m,2014,15 Mar 94,176,66,https://www.ifsc-climbing.org/athlete/154/aleksandr-shilov,https://www.digitalrock.de/egroupware/ranking/sitemgr/digitalrock/pstambl.html#person=12994&cat=23,NA,6.438,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Bassa Mawem,m,1997,9 Nov 84,184,77,https://www.ifsc-climbing.org/athlete/7613/bassa-mawem,https://en.wikipedia.org/wiki/Bassa_Mawem,https://www.digitalrock.de/egroupware/ranking/sitemgr/digitalrock/pstambl.html#person=6&cat=1,wildcard,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amir Maimuratov,m,2009,19 Jul 95,182,NA,https://www.ifsc-climbing.org/athlete/3362/amir-maimuratov,https://en.wikipedia.org/wiki/Amir_Maimuratov,NA,false_start,1,1,1,1,0,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
Ludovico Fossali,m,2011,21 May 97,185,74,https://www.ifsc-climbing.org/athlete/865/ludovico-fossali,https://en.wikipedia.org/wiki/Ludovico_Fossali,https://tokyo2020.coni.it/en/italia-team/scheda_atleta/1804-LUDOVICO_FOSSALI.html,false_start,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jan Kříž,m,2010,11 Feb 96,190,NA,https://www.ifsc-climbing.org/athlete/1372/jan-kriz,https://ec2022results.com/webrelease/en/results/sport-climbing/athlete-profile-n14721711-kriz-jan.htm,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleksandr Shikov,m,2011,1 Apr 97,NA,NA,https://www.ifsc-climbing.org/athlete/109/aleksandr-shikov,NA,NA,5.851,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
PengHui Lin,m,2015,1 Sep 94,NA,NA,https://www.ifsc-climbing.org/athlete/2950/penghui-lin,NA,NA,6.044,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Zhong Qixin,m,2006,7 Apr 89,170,NA,https://www.ifsc-climbing.org/athlete/2929/qixin-zhong,https://en.wikipedia.org/wiki/Zhong_Qixin,https://www.wikidata.org/wiki/Q3412492,5.993,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Marcin Dzieński,m,2007,22 Jan 93,166,65,https://www.ifsc-climbing.org/athlete/2845/marcin-dzienski,https://ifsc.results.info/athlete/2845,https://www.8a.nu/news/marcin-dzienski-the-fastest-climber-in-the-world,6.428,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
