name,rank
Anna Tsyganova,1
Elisabetta Brida,16
Elma Fleuret,6
Elizaveta Ivanova,15
Aleksandra Mirosław,4
Victoire Andrier,13
Klaudia Buczek,5
Nina Lach,11
Anouck Jaubert,2
Tamara Ulzhabayeva,12
Aurelia Sarisson,14
Daria Kan,7
Iuliia Kaplina,3
Alla Marenych,9
Anna Brożek,10
Patrycja Chudziak,8
Reza Alipour,2
Kostiantyn Pavlenko,10
Leonardo Gontero,5
Zhong Qixin,14
Aleksandr Shikov,3
Jan Kříž,16
Stanislav Kokorin,6
Dmitrii Timofeev,9
Danyil Boldyrev,8
Ludovico Fossali,13
Marcin Dzieński,1
Georgy Artamonov,15
Libor Hroza,7
John Brosler,12
Bassa Mawem,4
Quentin Nambot,11
