name,gender,active_since,birthdate,height_cm,weight_kg,source_a,source_b,source_c,first_final_s,hold_1,hold_2,hold_3,hold_4,hold_5,hold_6,hold_7,hold_8,hold_9,hold_10,hold_11,hold_12,hold_13,hold_14,hold_15,hold_16,hold_17,hold_18,hold_19,hold_20
Aleksandra Mirosław,w,2009,2 Feb 94,162,49,https://www.ifsc-climbing.org/athlete/2848/aleksandra-miroslaw,https://en.wikipedia.org/wiki/Aleksandra_Miros%C5%82aw,https://www.digitalrock.de/egroupware/ranking/sitemgr/digitalrock/pstambl.html#person=9493&cat=59,7.47,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
MingWei Ni,w,NA,2 Jul 01,NA,NA,https://www.ifsc-climbing.org/athlete/2966/mingwei-ni,NA,NA,7.81,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Patrycja Chudziak,w,2011,2 Jul 97,168,NA,https://www.ifsc-climbing.org/athlete/2857/patrycja-chudziak,https://www.wikidata.org/wiki/Q56676131,NA,8.11,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
Elena Remizova,w,2016,21 Dec 00,NA,NA,https://www.ifsc-climbing.org/athlete/197/elena-remizova,NA,NA,fall,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,NA,NA
Iuliia Kaplina,w,2011,11 May 93,165,53,https://www.ifsc-climbing.org/athlete/110/iuliia-kaplina,https://en.wikipedia.org/wiki/Iuliia_Kaplina,https://www.digitalrock.de/egroupware/ranking/sitemgr/digitalrock/pstambl.html#person=10857&cat=24,8.46,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Aleksandra Kałucka,w,2015,25 Dec 01,164,NA,https://www.ifsc-climbing.org/athlete/2878/aleksandra-kalucka,https://en.wikipedia.org/wiki/Aleksandra_Ka%C5%82ucka,NA,7.78,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Yiling Song,w,2016,28 Jan 01,164,NA,https://www.ifsc-climbing.org/athlete/2970/yiling-song,https://en.wikipedia.org/wiki/Song_Yiling,NA,7.43,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Anna Brożek,w,2011,27 Mar 95,NA,NA,https://www.ifsc-climbing.org/athlete/2855/anna-brozek,https://www.wikidata.org/wiki/Q56611612,NA,7.94,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Mariia Krasavina,w,2008,3 Aug 90,171,NA,https://www.ifsc-climbing.org/athlete/82/mariia-krasavina,https://www.wikidata.org/wiki/Q28001434,NA,7.45,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Andrea Rojas,w,2009,7 Nov 95,NA,NA,https://www.ifsc-climbing.org/athlete/3209/andrea-rojas,https://www.wikidata.org/wiki/Q97285369,NA,8.20,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Natalia Kałucka,w,2015,25 Dec 01,165,NA,https://www.ifsc-climbing.org/athlete/2879/natalia-kalucka,https://en.wikipedia.org/wiki/Natalia_Ka%C5%82ucka,NA,7.89,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Di Niu,w,2011,22 Sep 96,170,NA,https://www.ifsc-climbing.org/athlete/2941/di-niu,https://www.wikidata.org/wiki/Q70875970,https://www.ocagames.com/HZ_Info/AG2022-/en/results/sport-climbing/athlete-profile-n2011129-niu-di.htm,7.87,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Anouck Jaubert,w,2011,27 Jan 94,169,60,https://www.ifsc-climbing.org/athlete/479/anouck-jaubert,https://en.wikipedia.org/wiki/Anouck_Jaubert,https://www.digitalrock.de/egroupware/ranking/sitemgr/digitalrock/pstambl.html#person=10354&cat=24,8.40,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Aurelia Sarisson,w,2012,21 Dec 97,167,NA,https://www.ifsc-climbing.org/athlete/488/aurelia-sarisson,https://www.wikidata.org/wiki/Q97169068,https://ec2022results.com/webrelease/en/results/sport-climbing/athlete-profile-n14692787-sarisson-aurelia.htm,10.50,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
Elizaveta Ivanova,w,2013,29 Dec 99,NA,NA,https://www.ifsc-climbing.org/athlete/129/elizaveta-ivanova,NA,NA,7.74,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
PeiYang Tian,w,2015,27 Mar 00,NA,NA,https://www.ifsc-climbing.org/athlete/2963/peiyang-tian,NA,NA,8.08,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Dmitrii Timofeev,m,2011,7 Mar 93,NA,NA,https://www.ifsc-climbing.org/athlete/105/dmitrii-timofeev,https://www.wikidata.org/wiki/Q27985547,NA,6.15,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1
Stanislav Kokorin,m,2007,22 Jan 90,172,67,https://www.ifsc-climbing.org/athlete/74/stanislav-kokorin,https://en.wikipedia.org/wiki/Stanislav_Kokorin,NA,5.94,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Sergei Rukin,m,2016,21 Jan 00,NA,NA,https://www.ifsc-climbing.org/athlete/198/sergei-rukin,NA,NA,fall,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kostiantyn Pavlenko,m,2012,11 Aug 98,182,NA,https://www.ifsc-climbing.org/athlete/1492/kostiantyn-pavlenko,https://ec2022results.com/webrelease/en/results/sport-climbing/athlete-profile-n6515295-pavlenko-kostiantyn.htm,NA,6.23,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Reza Alipour,m,2011,29 Apr 94,170,76,https://www.ifsc-climbing.org/athlete/3471/reza-alipour-shenazandifard,https://en.wikipedia.org/wiki/Reza_Alipour,NA,6.28,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
John Brosler,m,2012,19 Mar 97,NA,NA,https://www.ifsc-climbing.org/athlete/1754/john-brosler,https://www.wikidata.org/wiki/Q52276774,NA,9.38,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
