Rank,Name,,Country,Qualification,Final,event_name,date,gender
1,DMITRII,TIMOFEEV,RUS,6.270,6.47,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
2,LIBOR,HROZA,CZE,6.340,7.28,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
3,QIXIN,ZHONG,CHN,6.980,6.86,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
4,IVAN,NOVIKOV,RUS,6.800,10.50,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
5,ARSENII,SHEVCHENKO,RUS,6.810,6.53,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
6,LUKASZ,SWIRK,POL,6.960,6.82,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
7,SERGEI,SINITCYN,RUS,7.010,8.80,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
8,DANYIL,BOLDYREV,UKR,6.870,9.03,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
9,JEDRZEJ,KOMOSINSKI,POL,6.930,6.85,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
10,EVGENII,VAITSEKHOVSKII,RUS,6.500,7.01,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
11,OLEKSIY,YURKO,UKR,7.180,7.01,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
12,YAROSLAV,GONTARYK,UKR,6.840,7.15,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
13,STANISLAV,KOKORIN,RUS,6.560,7.18,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
14,EVGENY,ASTASHKIN,RUS,6.950,7.41,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
15,NING,ZHANG,CHN,7.390,7.43,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
16,SERGEY,ABDRAKHMANOV,RUS,6.430,fall,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
17,ZUFAR,NIGMANOV,RUS,7.460,,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
18,SERGIY,BARKOVSKYY,UKR,7.520,,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
19,ARTEM,SAVELYEV,RUS,7.650,,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
20,YUHANG,ZHANG,CHN,7.660,,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
21,VIACHESLAV,VEDENCHUK,RUS,8.000,,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
22,LINCAI,ZHONG,CHN,8.050,,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
23,GUANGDONG,LI,CHN,8.280,,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
24,JIACUO,SUOLANG,CHN,11.250,,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
1,ALINA,GAIDAMAKINA,RUS,9.650,9.24,Chongqing_(CHN)_2012,13 April - 14 April 2012,Women
2,MARIIA,KRASAVINA,RUS,9.820,9.44,Chongqing_(CHN)_2012,13 April - 14 April 2012,Women
3,NATALIA,TITOVA,RUS,9.530,9.47,Chongqing_(CHN)_2012,13 April - 14 April 2012,Women
4,KSENIYA,POLEKHINA,RUS,9.890,9.98,Chongqing_(CHN)_2012,13 April - 14 April 2012,Women
