Rank,Name,,Country,Qualification,Final,event_name,date,gender
1,ANATOLY,SKRIPOV,RUS,19.920,15.400,Trento_(ITA)_2007,1 May - 1 May 2007,Men
2,SERGEI,SINITCYN,RUS,18.020,15.420,Trento_(ITA)_2007,1 May - 1 May 2007,Men
3,MANUEL,ESCOBAR,VEN,21.290,16.890,Trento_(ITA)_2007,1 May - 1 May 2007,Men
4,MAKSYM,OSIPOV,UKR,23.370,19.730,Trento_(ITA)_2007,1 May - 1 May 2007,Men
5,CSABA,KOMONDI,HUN,21.520,18.200,Trento_(ITA)_2007,1 May - 1 May 2007,Men
6,NICOLAS,JANUEL,FRA,24.010,18.480,Trento_(ITA)_2007,1 May - 1 May 2007,Men
7,LEONEL,DE LAS SALAS,VEN,21.920,18.930,Trento_(ITA)_2007,1 May - 1 May 2007,Men
8,EVGENII,VAITSEKHOVSKII,RUS,19.780,19.500,Trento_(ITA)_2007,1 May - 1 May 2007,Men
9,ALEXANDER,KOSTERIN,RUS,23.580,18.660,Trento_(ITA)_2007,1 May - 1 May 2007,Men
10,MARK,AMANN,AUT,22.750,20.510,Trento_(ITA)_2007,1 May - 1 May 2007,Men
11,NESTOR,CARVAJAL,VEN,21.830,20.810,Trento_(ITA)_2007,1 May - 1 May 2007,Men
12,LUKASZ,SWIRK,POL,23.460,21.650,Trento_(ITA)_2007,1 May - 1 May 2007,Men
13,ALEXANDER,PESHEKHONOV,RUS,20.340,22.060,Trento_(ITA)_2007,1 May - 1 May 2007,Men
14,ALEKSEI,PORTSEV,RUS,28.810,23.840,Trento_(ITA)_2007,1 May - 1 May 2007,Men
15,LIBOR,HROZA,CZE,24.180,23.850,Trento_(ITA)_2007,1 May - 1 May 2007,Men
16,JIRI,SVACHA,CZE,27.480,24.580,Trento_(ITA)_2007,1 May - 1 May 2007,Men
17,JOHANNES,LAU,GER,,,Trento_(ITA)_2007,1 May - 1 May 2007,Men
18,MATHIAS,CONRAD,GER,,,Trento_(ITA)_2007,1 May - 1 May 2007,Men
19,MICHEL,SIROTTI,ITA,,,Trento_(ITA)_2007,1 May - 1 May 2007,Men
20,MANUEL,CORETTI,ITA,,,Trento_(ITA)_2007,1 May - 1 May 2007,Men
21,LUCA,GIUPPONI,ITA,,,Trento_(ITA)_2007,1 May - 1 May 2007,Men
22,GYULA,JUHASZ,HUN,,,Trento_(ITA)_2007,1 May - 1 May 2007,Men
1,ROSMERY,DA SILVA,VEN,27.510,23.010,Trento_(ITA)_2007,1 May - 1 May 2007,Women
2,TATIANA,RUYGA,RUS,27.370,23.840,Trento_(ITA)_2007,1 May - 1 May 2007,Women
3,ANNA,STENKOVAYA,RUS,26.800,23.260,Trento_(ITA)_2007,1 May - 1 May 2007,Women
4,FRANCIS,RODRIGUEZ,VEN,26.400,24.210,Trento_(ITA)_2007,1 May - 1 May 2007,Women
5,OLENA,RYEPKO,UKR,26.380,24.620,Trento_(ITA)_2007,1 May - 1 May 2007,Women
6,SVITLANA,TUZHYLINA,UKR,26.050,25.170,Trento_(ITA)_2007,1 May - 1 May 2007,Women
7,VALENTINA,YURINA,RUS,27.250,26.140,Trento_(ITA)_2007,1 May - 1 May 2007,Women
8,EDYTA,ROPEK,POL,26.680,27.380,Trento_(ITA)_2007,1 May - 1 May 2007,Women
9,MAYYA,PIRATINSKAYA,RUS,,,Trento_(ITA)_2007,1 May - 1 May 2007,Women
10,LUCELIA,BLANCO,VEN,,,Trento_(ITA)_2007,1 May - 1 May 2007,Women
11,CASSANDRA,ZAMPAR,ITA,,,Trento_(ITA)_2007,1 May - 1 May 2007,Women
12,ELISKA,KARESOVA,CZE,,,Trento_(ITA)_2007,1 May - 1 May 2007,Women
1,SERGEI,SINITCYN,RUS,34.860,23.410,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
2,EVGENII,VAITSEKHOVSKII,RUS,28.530,27.650,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
3,ALEXANDER,KOSTERIN,RUS,29.950,24.830,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
4,ALEXANDER,PESHEKHONOV,RUS,31.440,28.230,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
5,OLEKSANDR,SALIMOV,UKR,32.720,27.140,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
6,DMITRII,SHARAFUTDINOV,RUS,33.100,28.530,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
7,LIBOR,HROZA,CZE,33.120,34.930,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
8,MANUEL,ESCOBAR,VEN,26.090,fall,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
9,ANATOLY,SKRIPOV,RUS,36.550,30.360,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
10,NESTOR,CARVAJAL,VEN,35.470,30.590,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
11,LEONEL,DE LAS SALAS,VEN,36.820,30.890,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
12,VALERIY,VOROBYEV,RUS,37.710,31.420,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
13,LUCAS,PRETI,ITA,37.200,37.070,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
14,NICOLAS,BADIA,FRA,36.660,37.550,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
15,MARCO ANTONIO,JUBES ANGARITA,ESP,36.910,38.670,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
16,NICOLAS,JANUEL,FRA,36.520,42.480,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
17,CSABA,KOMONDI,HUN,,,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
18,JOHANNES,LAU,GER,,,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
19,MIKHAIL,CHERNIKOV,RUS,,,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
20,IVAN,KAUROV,RUS,,,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
21,SYLVAIN,CHAPELLE,FRA,,,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
22,MAKSYM,OSIPOV,UKR,,,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
23,IVAN,SHYSHKOVSKYY,UKR,,,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
24,ERIC,LOPEZ MATEOS,ESP,,,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
25,SERGIY,KRYVONOS,UKR,,,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
26,GUILLAUME,GLAIRON MONDET,FRA,,,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
27,MARK,AMANN,AUT,,,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
28,LUKASZ,SWIRK,POL,,,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
29,MICHEL,SIROTTI,ITA,,,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
30,IAKOV,SUBBOTIN,RUS,,,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
31,LUYUAN,CAI,CHN,,,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
32,MIKHAIL,GOGOL,RUS,,,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
33,CHI-WAI,LAI,HKG,,,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
34,SALAH,BOULBAHAIEM,BEL,,,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
35,GYULA,JUHASZ,HUN,,,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
36,JAKUB,HEJL,CZE,,,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
37,JIRI,SVACHA,CZE,,,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
37,QIXIN,ZHONG,CHN,,,Chamonix_(FRA)_2007,11 July - 13 July 2007,Men
1,SVITLANA,TUZHYLINA,UKR,51.990,43.230,Chamonix_(FRA)_2007,11 July - 13 July 2007,Women
2,TATIANA,RUYGA,RUS,60.160,48.190,Chamonix_(FRA)_2007,11 July - 13 July 2007,Women
3,GALINA,TERENTEVA,RUS,60.420,52.520,Chamonix_(FRA)_2007,11 July - 13 July 2007,Women
4,ANNA,STENKOVAYA,RUS,64.690,54.960,Chamonix_(FRA)_2007,11 July - 13 July 2007,Women
5,KSENIIA,ALEKSEEVA,RUS,60.870,48.950,Chamonix_(FRA)_2007,11 July - 13 July 2007,Women
6,VALENTINA,YURINA,RUS,60.830,50.760,Chamonix_(FRA)_2007,11 July - 13 July 2007,Women
7,EDYTA,ROPEK,POL,59.120,56.150,Chamonix_(FRA)_2007,11 July - 13 July 2007,Women
8,CHUNHUA,LI,CHN,63.120,59.290,Chamonix_(FRA)_2007,11 July - 13 July 2007,Women
9,LUCELIA,BLANCO,VEN,66.910,57.630,Chamonix_(FRA)_2007,11 July - 13 July 2007,Women
10,ROSMERY,DA SILVA,VEN,79.520,58.260,Chamonix_(FRA)_2007,11 July - 13 July 2007,Women
11,CUIFANG,HE,CHN,62.220,59.960,Chamonix_(FRA)_2007,11 July - 13 July 2007,Women
12,YANA,CHERESHNEVA,RUS,71.790,61.180,Chamonix_(FRA)_2007,11 July - 13 July 2007,Women
13,MAYYA,PIRATINSKAYA,RUS,70.030,61.860,Chamonix_(FRA)_2007,11 July - 13 July 2007,Women
14,ELISKA,KARESOVA,CZE,73.390,62.310,Chamonix_(FRA)_2007,11 July - 13 July 2007,Women
15,FRANCIS,RODRIGUEZ,VEN,64.460,70.200,Chamonix_(FRA)_2007,11 July - 13 July 2007,Women
16,ANNA,KHUDYAKOVA,RUS,80.060,70.660,Chamonix_(FRA)_2007,11 July - 13 July 2007,Women
17,EKATERINA,KOROLKOVA,RUS,,,Chamonix_(FRA)_2007,11 July - 13 July 2007,Women
18,JULIA,YACHNIK,RUS,,,Chamonix_(FRA)_2007,11 July - 13 July 2007,Women
19,ALIYA,ISKAKOVA,KAZ,,,Chamonix_(FRA)_2007,11 July - 13 July 2007,Women
1,SERGEI,SINITCYN,RUS,17.650,39.090,Val_Daone_(ITA)_2007,21 July - 22 July 2007,Men
2,EVGENII,VAITSEKHOVSKII,RUS,18.480,fall,Val_Daone_(ITA)_2007,21 July - 22 July 2007,Men
3,ALEXANDER,KOSTERIN,RUS,20.910,40.130,Val_Daone_(ITA)_2007,21 July - 22 July 2007,Men
4,LUKASZ,SWIRK,POL,26.130,43.730,Val_Daone_(ITA)_2007,21 July - 22 July 2007,Men
5,MANUEL,ESCOBAR,VEN,22.900,45.070,Val_Daone_(ITA)_2007,21 July - 22 July 2007,Men
6,VALERIY,VOROBYEV,RUS,28.140,49.490,Val_Daone_(ITA)_2007,21 July - 22 July 2007,Men
7,ANATOLY,SKRIPOV,RUS,25.320,50.420,Val_Daone_(ITA)_2007,21 July - 22 July 2007,Men
8,ALEXANDER,PESHEKHONOV,RUS,23.870,77.940,Val_Daone_(ITA)_2007,21 July - 22 July 2007,Men
9,LIBOR,HROZA,CZE,24.770,49.670,Val_Daone_(ITA)_2007,21 July - 22 July 2007,Men
10,LEONEL,DE LAS SALAS,VEN,22.900,50.270,Val_Daone_(ITA)_2007,21 July - 22 July 2007,Men
11,IAKOV,SUBBOTIN,RUS,26.190,50.900,Val_Daone_(ITA)_2007,21 July - 22 July 2007,Men
12,MAKSYM,STYENKOVYY,UKR,20.130,52.620,Val_Daone_(ITA)_2007,21 July - 22 July 2007,Men
13,IVAN,SHYSHKOVSKYY,UKR,26.830,53.260,Val_Daone_(ITA)_2007,21 July - 22 July 2007,Men
14,MAKSYM,OSIPOV,UKR,25.850,58.810,Val_Daone_(ITA)_2007,21 July - 22 July 2007,Men
